candidate_key,router_rule,router_fallback,event_use_rate,global_ratio,global_wmape,under_wape,over_wape,false_positive_rate_zero_true,zero_true_pred_ge_3_rate,4_25_under_wape,ice_4_25_sku_p50,blockbuster_under_wape,blockbuster_sku_p50,rank_corr_positive_skus,top20_true_volume_capture,1_3_ratio,improvement_pct_vs_phase7
router_phase7_anchor_event_covered,anchor_event_covered,phase7,0.75,1.0198492352492323,0.6590521676867911,0.31960146621877933,0.3394507014680117,0.15645560130135022,0.0145398666145235,0.34656766211303147,0.5981425138069462,0.3819732548025686,0.595706117895437,0.8078380186536347,0.6524430436550572,1.2758658087999175,3.9713975078907846
event_request_all,baseline,,1.0,1.0189073499518755,0.6619851176404025,0.32153888384426355,0.34044623379613886,0.1555673386206347,0.014111050147971184,0.3466781551767375,0.5979948523514076,0.3886573313917804,0.5891101709474298,0.8069906082069724,0.6518050080452256,1.2824083067837877,3.544045776064834
router_purchase_anchor_event_covered,anchor_event_covered,purchase,0.75,1.0189073499518755,0.6619851176404025,0.32153888384426355,0.34044623379613886,0.1555673386206347,0.014111050147971184,0.3466781551767375,0.5979948523514076,0.3886573313917804,0.5891101709474298,0.8069906082069724,0.6518050080452256,1.2824083067837877,3.544045776064834
router_purchase_event_any_30_ge_1,event_any_30_ge_1,purchase,0.34228303747534516,1.0178231570824952,0.6625679483732003,0.3223723956453527,0.3401955527278476,0.1558159264071408,0.0140512251676047,0.3470627943494058,0.5970127512747044,0.3900921865477686,0.5914106257186422,0.8065497003070163,0.6500336915262857,1.2821480039414856,3.4591231803976745
router_purchase_event_active_buyers_30_ge_1,event_active_buyers_30_ge_1,purchase,0.34228303747534516,1.0178231570824952,0.6625679483732003,0.3223723956453527,0.3401955527278476,0.1558159264071408,0.0140512251676047,0.3470627943494058,0.5970127512747044,0.3900921865477686,0.5914106257186422,0.8065497003070163,0.6500336915262857,1.2821480039414856,3.4591231803976745
router_purchase_event_any_30_ge_1_recency_any_le_30,event_any_30_ge_1_recency_any_le_30,purchase,0.34228303747534516,1.0178231570824952,0.6625679483732003,0.3223723956453527,0.3401955527278476,0.1558159264071408,0.0140512251676047,0.3470627943494058,0.5970127512747044,0.3900921865477686,0.5914106257186422,0.8065497003070163,0.6500336915262857,1.2821480039414856,3.4591231803976745
router_purchase_event_any_30_ge_1_recency_any_le_60,event_any_30_ge_1_recency_any_le_60,purchase,0.34228303747534516,1.0178231570824952,0.6625679483732003,0.3223723956453527,0.3401955527278476,0.1558159264071408,0.0140512251676047,0.3470627943494058,0.5970127512747044,0.3900921865477686,0.5914106257186422,0.8065497003070163,0.6500336915262857,1.2821480039414856,3.4591231803976745
router_purchase_event_any_30_ge_1_recency_any_le_120,event_any_30_ge_1_recency_any_le_120,purchase,0.34228303747534516,1.0178231570824952,0.6625679483732003,0.3223723956453527,0.3401955527278476,0.1558159264071408,0.0140512251676047,0.3470627943494058,0.5970127512747044,0.3900921865477686,0.5914106257186422,0.8065497003070163,0.6500336915262857,1.2821480039414856,3.4591231803976745
router_phase7_event_any_30_ge_1,event_any_30_ge_1,phase7,0.34228303747534516,1.0174568576638543,0.6635898581447273,0.32306650024043654,0.3405233579042908,0.15718889016761203,0.014654622326927939,0.3492658194580327,0.5890251859964604,0.38811244065552114,0.5884811731316519,0.807860433559021,0.650755417408025,1.2764943646133402,3.310223636409831
router_phase7_event_active_buyers_30_ge_1,event_active_buyers_30_ge_1,phase7,0.34228303747534516,1.0174568576638543,0.6635898581447273,0.32306650024043654,0.3405233579042908,0.15718889016761203,0.014654622326927939,0.3492658194580327,0.5890251859964604,0.38811244065552114,0.5884811731316519,0.807860433559021,0.650755417408025,1.2764943646133402,3.310223636409831
router_phase7_event_any_30_ge_1_recency_any_le_30,event_any_30_ge_1_recency_any_le_30,phase7,0.34228303747534516,1.0174568576638543,0.6635898581447273,0.32306650024043654,0.3405233579042908,0.15718889016761203,0.014654622326927939,0.3492658194580327,0.5890251859964604,0.38811244065552114,0.5884811731316519,0.807860433559021,0.650755417408025,1.2764943646133402,3.310223636409831
router_phase7_event_any_30_ge_1_recency_any_le_60,event_any_30_ge_1_recency_any_le_60,phase7,0.34228303747534516,1.0174568576638543,0.6635898581447273,0.32306650024043654,0.3405233579042908,0.15718889016761203,0.014654622326927939,0.3492658194580327,0.5890251859964604,0.38811244065552114,0.5884811731316519,0.807860433559021,0.650755417408025,1.2764943646133402,3.310223636409831
router_phase7_event_any_30_ge_1_recency_any_le_120,event_any_30_ge_1_recency_any_le_120,phase7,0.34228303747534516,1.0174568576638543,0.6635898581447273,0.32306650024043654,0.3405233579042908,0.15718889016761203,0.014654622326927939,0.3492658194580327,0.5890251859964604,0.38811244065552114,0.5884811731316519,0.807860433559021,0.650755417408025,1.2764943646133402,3.310223636409831
router_purchase_event_strong_30_ge_1,event_strong_30_ge_1,purchase,0.27638067061143984,1.0190169432255902,0.6637820584882044,0.3223825576313071,0.3413995008568973,0.1565010154075681,0.013996294435566745,0.3470477076751084,0.5981787209838012,0.39010196352834536,0.5914106257186422,0.8059340816157468,0.6497220964186695,1.283529492124836,3.282218675213221
router_purchase_active_buyers_ge_1_strong_ge_1,active_buyers_ge_1_strong_ge_1,purchase,0.27638067061143984,1.0190169432255902,0.6637820584882044,0.3223825576313071,0.3413995008568973,0.1565010154075681,0.013996294435566745,0.3470477076751084,0.5981787209838012,0.39010196352834536,0.5914106257186422,0.8059340816157468,0.6497220964186695,1.283529492124836,3.282218675213221
router_phase7_event_strong_30_ge_1,event_strong_30_ge_1,phase7,0.27638067061143984,1.0181646496051338,0.6638338204110147,0.32283458540294047,0.3409992350080741,0.15737361008975573,0.014716267915477846,0.34911084142110843,0.5890592716781127,0.3883079521654125,0.5884811731316519,0.8072832354922755,0.650733141724237,1.2795556676236273,3.274676593791617
router_phase7_active_buyers_ge_1_strong_ge_1,active_buyers_ge_1_strong_ge_1,phase7,0.27638067061143984,1.0181646496051338,0.6638338204110147,0.32283458540294047,0.3409992350080741,0.15737361008975573,0.014716267915477846,0.34911084142110843,0.5890592716781127,0.3883079521654125,0.5884811731316519,0.8072832354922755,0.650733141724237,1.2795556676236273,3.274676593791617
router_purchase_event_any_30_ge_5,event_any_30_ge_5,purchase,0.2143244575936884,1.0197098362478425,0.6638948533106145,0.322092508531386,0.3418023447792284,0.1568520643458982,0.013995592970135314,0.34664420641264915,0.599513030011579,0.39010196352834536,0.5914106257186422,0.8062863726191218,0.6502265406876474,1.2844017320563133,3.265783664912889
router_purchase_event_active_buyers_30_ge_2,event_active_buyers_30_ge_2,purchase,0.24558678500986192,1.0194904649502872,0.6640879781461612,0.32229875659793705,0.3417892215482241,0.1566489995612636,0.014083968986970343,0.34695165304240516,0.5969532494889901,0.39010196352834536,0.5914106257186422,0.8067639533362687,0.6501254795251374,1.2834304985272469,3.2376439986264423
router_purchase_active_buyers_ge_2_strong_ge_1,active_buyers_ge_2_strong_ge_1,purchase,0.22835305719921106,1.0200320869529458,0.664485990270558,0.3222269516588063,0.3422590386117518,0.15697478794677627,0.014085088129722334,0.3468877472818998,0.5980547922338012,0.39010196352834536,0.5914106257186422,0.8063274512201424,0.6497220964186695,1.284555335629181,3.1796507926942117
router_purchase_event_strong_30_ge_5,event_strong_30_ge_5,purchase,0.16151380670611437,1.0195035693446113,0.6645289479455374,0.3225126893004632,0.34201625864507423,0.15702049775837895,0.014174299501198485,0.3475211891193193,0.5985917477652933,0.38981426375230255,0.5935172802850295,0.8063024387016164,0.6500763256187968,1.2845047041754838,3.173391552990832
router_purchase_active_buyers_ge_1_strong_ge_5,active_buyers_ge_1_strong_ge_5,purchase,0.16151380670611437,1.0195035693446113,0.6645289479455374,0.3225126893004632,0.34201625864507423,0.15702049775837895,0.014174299501198485,0.3475211891193193,0.5985917477652933,0.38981426375230255,0.5935172802850295,0.8063024387016164,0.6500763256187968,1.2845047041754838,3.173391552990832
router_phase7_event_any_30_ge_5,event_any_30_ge_5,phase7,0.2143244575936884,1.0195251305212198,0.664663351532803,0.3225691105057916,0.34209424102701147,0.15783983241781085,0.014858522466203682,0.3486901410321532,0.5906892840301814,0.3883079521654125,0.5884811731316519,0.8076419311611619,0.650777693102951,1.2802483864585348,3.153807991494721
router_purchase_event_any_30_ge_1_recency_any_le_14,event_any_30_ge_1_recency_any_le_14,purchase,0.28856015779092703,1.0197719646983985,0.6648007128892286,0.32251437409541517,0.3422863387938135,0.15716251456446023,0.014080962291430084,0.34739910401659735,0.5964848941318472,0.39010196352834536,0.5914106257186422,0.8060682110583994,0.6497886590046169,1.2841165144946842,3.1337934619313486
router_purchase_active_buyers_ge_2_strong_ge_5,active_buyers_ge_2_strong_ge_5,purchase,0.15650887573964498,1.0202003903283516,0.6649927460183142,0.3223961778449813,0.3425965681733328,0.15737714241046902,0.014234475214280685,0.34738905572675144,0.5985917477652933,0.38981426375230255,0.5935172802850295,0.8062854847451433,0.6500763256187968,1.285027967509456,3.105812865064491
router_purchase_event_any_30_ge_10,event_any_30_ge_10,purchase,0.15512820512820513,1.0203632517481724,0.6654669135364946,0.32255183089416106,0.3429150826423335,0.15754794799766342,0.01423412448156497,0.3475026657433971,0.5985654936324117,0.38981426375230255,0.5935172802850295,0.8054522782501283,0.6493330925044284,1.285148447301827,3.0367232749674953
router_purchase_event_any_30_ge_10_recency_any_le_30,event_any_30_ge_10_recency_any_le_30,purchase,0.15512820512820513,1.0203632517481724,0.6654669135364946,0.32255183089416106,0.3429150826423335,0.15754794799766342,0.01423412448156497,0.3475026657433971,0.5985654936324117,0.38981426375230255,0.5935172802850295,0.8054522782501283,0.6493330925044284,1.285148447301827,3.0367232749674953
router_purchase_event_any_30_ge_10_recency_any_le_60,event_any_30_ge_10_recency_any_le_60,purchase,0.15512820512820513,1.0203632517481724,0.6654669135364946,0.32255183089416106,0.3429150826423335,0.15754794799766342,0.01423412448156497,0.3475026657433971,0.5985654936324117,0.38981426375230255,0.5935172802850295,0.8054522782501283,0.6493330925044284,1.285148447301827,3.0367232749674953
router_purchase_event_any_30_ge_10_recency_any_le_120,event_any_30_ge_10_recency_any_le_120,purchase,0.15512820512820513,1.0203632517481724,0.6654669135364946,0.32255183089416106,0.3429150826423335,0.15754794799766342,0.01423412448156497,0.3475026657433971,0.5985654936324117,0.38981426375230255,0.5935172802850295,0.8054522782501283,0.6493330925044284,1.285148447301827,3.0367232749674953
router_phase7_event_any_30_ge_1_recency_any_le_14,event_any_30_ge_1_recency_any_le_14,phase7,0.28856015779092703,1.0197270131411589,0.6657714493070919,0.32302221808296655,0.34274923122412526,0.15880486610293854,0.014685060916184755,0.34941717883496326,0.5890251859964604,0.3883079521654125,0.5884811731316519,0.8074737630477775,0.6507880103705193,1.2795128154040414,2.992350240641608
router_phase7_event_active_buyers_30_ge_2,event_active_buyers_30_ge_2,phase7,0.24558678500986192,1.0205278439473786,0.6659559588668988,0.32271405745976,0.34324190140713884,0.15855242025655955,0.014859641608955677,0.3488759395691574,0.5896899573905781,0.3883079521654125,0.5884811731316519,0.8076237163199432,0.6508667958158276,1.2794741424062184,2.9654658814915766
router_phase7_event_strong_30_ge_5,event_strong_30_ge_5,phase7,0.16151380670611437,1.0196223569474159,0.6659973760379637,0.323187509545274,0.34280986649268974,0.15789197329781457,0.01527170161500911,0.349748726013573,0.5890799820964604,0.3884951025392724,0.5884811731316519,0.8078489687329966,0.650698907587826,1.2816275295340223,2.9594311041984587
router_phase7_active_buyers_ge_1_strong_ge_5,active_buyers_ge_1_strong_ge_5,phase7,0.16151380670611437,1.0196223569474159,0.6659973760379637,0.323187509545274,0.34280986649268974,0.15789197329781457,0.01527170161500911,0.349748726013573,0.5890799820964604,0.3884951025392724,0.5884811731316519,0.8078489687329966,0.650698907587826,1.2816275295340223,2.9594311041984587
router_phase7_active_buyers_ge_2_strong_ge_1,active_buyers_ge_2_strong_ge_1,phase7,0.22835305719921106,1.0205781529258644,0.6660803118831959,0.32275107947866577,0.34332923240453017,0.15846362656240395,0.014979993035120077,0.3491344088951916,0.5890592716781127,0.3883079521654125,0.5884811731316519,0.8072341662289034,0.650733141724237,1.2813261436724737,2.947346759886072
router_purchase_event_any_30_ge_10_recency_any_le_14,event_any_30_ge_10_recency_any_le_14,purchase,0.1496301775147929,1.0212867251622593,0.6663873439681413,0.322550309402941,0.34383703456520026,0.1582077764452733,0.01423412448156497,0.3475026657433971,0.5985654936324117,0.38981426375230255,0.5935172802850295,0.8054038568799522,0.6493330925044284,1.2853083760856947,2.9026099947510406
router_purchase_event_any_30_ge_1_recency_any_le_7,event_any_30_ge_1_recency_any_le_7,purchase,0.23912721893491123,1.0199114996836705,0.6665324964539153,0.3233104983851226,0.34322199806879283,0.15804478884765136,0.013991116399127344,0.34916029587688124,0.5935983494889902,0.38960398949949815,0.5935172802850295,0.8056465938670784,0.6487194261939273,1.2839862140133989,2.8814602420598945
router_purchase_event_strong_30_ge_10,event_strong_30_ge_10,purchase,0.11084812623274162,1.020937182363793,0.6666440221714558,0.3228534199038315,0.34379060226762426,0.158052793646955,0.014324521940397957,0.34808031003380785,0.5981692870510077,0.39021377186177897,0.5935172802850295,0.8057959504912262,0.6498033026845362,1.2867292300712512,2.865210149392828
