candidate_key,uplift_rule,uplift_mult,selected_count,selected_rate,global_wmape,global_ratio,4_25_under_wape,4_25_sku_p50,ice_4_25_sku_p50,blockbuster_under_wape,blockbuster_sku_p50,top20_true_volume_capture,rank_corr_positive_skus,1_3_ratio,false_positive_rate_zero_true,zero_true_pred_ge_3_rate,max_anchor_global_ratio,anchor_ratio_over_110_count,global_wmape_delta_vs_router,global_wmape_delta_vs_phase7,global_ratio_delta_vs_router,global_ratio_delta_vs_phase7,4_25_under_wape_delta_vs_router,4_25_under_wape_delta_vs_phase7,4_25_sku_p50_delta_vs_router,4_25_sku_p50_delta_vs_phase7,ice_4_25_sku_p50_delta_vs_router,ice_4_25_sku_p50_delta_vs_phase7,blockbuster_under_wape_delta_vs_router,blockbuster_under_wape_delta_vs_phase7,blockbuster_sku_p50_delta_vs_router,blockbuster_sku_p50_delta_vs_phase7,top20_true_volume_capture_delta_vs_router,top20_true_volume_capture_delta_vs_phase7,rank_corr_positive_skus_delta_vs_router,rank_corr_positive_skus_delta_vs_phase7,1_3_ratio_delta_vs_router,1_3_ratio_delta_vs_phase7,false_positive_rate_zero_true_delta_vs_router,false_positive_rate_zero_true_delta_vs_phase7,zero_true_pred_ge_3_rate_delta_vs_router,zero_true_pred_ge_3_rate_delta_vs_phase7,wmape_improvement_pct_vs_phase7,blockbuster_under_improvement_pct_vs_phase7,anchor_ratio_safe,phase7_style_gate,strict_router_win,phase8_final_recommended_gate
uplift_pred_ge_20_prob_ge_0.50_signal_ge_20_x12,pred_ge_20_prob_ge_0.50_signal_ge_20,1.2,194,0.004783037475345167,0.6481537036340077,1.0578375290116457,0.34599535798882225,0.6645964776513806,0.5981425138069462,0.3100758076925382,0.6854550891199628,0.6524430436550572,0.8078380076548581,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0992656187884295,0,-0.010898464052783385,-0.03815449057401088,0.037988293762413194,0.04193611599106606,-0.0005723041242092219,-0.010622629251780757,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.07189744711003032,-0.10639891994782502,0.08974897122452574,0.1315202292440497,0.0,0.0030646053646500304,-1.0998776556192524e-08,0.003421802576298427,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.559381469725879,25.547509341239856,True,True,True,True
uplift_pred_ge_20_prob_ge_0.50_signal_ge_80_x12,pred_ge_20_prob_ge_0.50_signal_ge_80,1.2,193,0.0047583826429980275,0.6481742363257318,1.0577381425199568,0.3461043162944461,0.6645964776513806,0.5981425138069462,0.3100758076925382,0.6854550891199628,0.6524430436550572,0.8078380026554143,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0992656187884295,0,-0.010877931361059301,-0.038133957882286795,0.03788890727072425,0.04183672949937711,-0.00046334581858537005,-0.010513670946156906,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.07189744711003032,-0.10639891994782502,0.08974897122452574,0.1315202292440497,0.0,0.0030646053646500304,-1.5998220415092135e-08,0.0034217975768545683,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.556389710062018,25.547509341239856,True,True,True,True
uplift_pred_ge_20_prob_ge_0.70_signal_ge_20_x12,pred_ge_20_prob_ge_0.70_signal_ge_20,1.2,191,0.004709072978303748,0.6480390620783139,1.0575163722111731,0.34599535798882225,0.6645964776513806,0.5981425138069462,0.31042225322349165,0.6812347871499077,0.6524430436550572,0.8078378779192891,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0983940220760964,0,-0.011013105608477236,-0.03826913212970473,0.03766713696194057,0.04161495919059344,-0.0005723041242092219,-0.010622629251780757,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.07155100157907684,-0.10605247441687154,0.08552866925447067,0.12729992727399464,0.0,0.0030646053646500304,-1.4073434562167364e-07,0.0034216728407293617,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.576085562240197,25.464324094222263,True,True,True,True
uplift_pred_ge_20_prob_ge_0.70_signal_ge_80_x12,pred_ge_20_prob_ge_0.70_signal_ge_80,1.2,190,0.004684418145956607,0.6480595947700379,1.0574169857194842,0.3461043162944461,0.6645964776513806,0.5981425138069462,0.31042225322349165,0.6812347871499077,0.6524430436550572,0.807837882918733,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0983940220760964,0,-0.010992572916753152,-0.038248599437980646,0.037567750470251626,0.04151557269890449,-0.00046334581858537005,-0.010513670946156906,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.07155100157907684,-0.10605247441687154,0.08552866925447067,0.12729992727399464,0.0,0.0030646053646500304,-1.3573490165175173e-07,0.0034216778401733317,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.573093802576336,25.464324094222263,True,True,True,True
uplift_pred_ge_20_prob_ge_0.50_signal_ge_120_x12,pred_ge_20_prob_ge_0.50_signal_ge_120,1.2,186,0.004585798816568047,0.6488534091310687,1.0570098134749488,0.3463009943877283,0.6645964776513806,0.5981425138069462,0.3119582677992091,0.6775144272326269,0.6524430436550572,0.8078375601241266,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0989126220854366,0,-0.010198758555722387,-0.03745478507694988,0.03716057822571628,0.04110840045436914,-0.0002666677253031491,-0.010316992852874685,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.0700149870033594,-0.1045164598411541,0.08180830933718986,0.12357956735671383,0.0,0.0030646053646500304,-4.5852950814051496e-07,0.003421355045566843,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.457429387124207,25.09551070080939,True,True,True,True
uplift_pred_ge_20_prob_ge_0.70_signal_ge_120_x12,pred_ge_20_prob_ge_0.70_signal_ge_120,1.2,183,0.0045118343195266275,0.648738767575375,1.0566886566744762,0.3463009943877283,0.6645964776513806,0.5981425138069462,0.3123047133301625,0.6732941252625718,0.6524430436550572,0.8078374328882796,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0980410253731037,0,-0.010313400111416127,-0.03756942663264362,0.03683942142524366,0.04078724365389652,-0.0002666677253031491,-0.010316992852874685,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.06966854147240598,-0.10417001431020068,0.07758800736713478,0.11935926538665875,0.0,0.0030646053646500304,-5.857653551100128e-07,0.0034212278097198734,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.474133479638509,25.01232545379181,True,True,True,True
uplift_pred_ge_20_prob_ge_0.85_signal_ge_20_x12,pred_ge_20_prob_ge_0.85_signal_ge_20,1.2,187,0.004610453648915188,0.6487451531098204,1.0568102811796662,0.34599535798882225,0.6645964776513806,0.5981425138069462,0.3125468402230069,0.6812347871499077,0.6524430436550572,0.8078376069110662,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0983940220760964,0,-0.010307014576970697,-0.03756304109819819,0.0369610459304337,0.040908868159086564,-0.0005723041242092219,-0.010622629251780757,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.06942641457956161,-0.10392788741735631,0.08552866925447067,0.12729992727399464,0.0,0.0030646053646500304,-4.1174256848464097e-07,0.0034214018325064988,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.473203061715582,24.954188218378707,True,True,True,True
uplift_pred_ge_20_prob_ge_0.85_signal_ge_80_x12,pred_ge_20_prob_ge_0.85_signal_ge_80,1.2,186,0.004585798816568047,0.6487656858015445,1.0567108946879775,0.3461043162944461,0.6645964776513806,0.5981425138069462,0.3125468402230069,0.6812347871499077,0.6524430436550572,0.8078376119105102,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0983940220760964,0,-0.010286481885246612,-0.03754250840647411,0.036861659438744976,0.04080948166739784,-0.00046334581858537005,-0.010513670946156906,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.06942641457956161,-0.10392788741735631,0.08552866925447067,0.12729992727399464,0.0,0.0030646053646500304,-4.0674312451471906e-07,0.0034214068319504687,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.470211302051721,24.954188218378707,True,True,True,True
uplift_pred_ge_20_prob_ge_0.85_signal_ge_120_x12,pred_ge_20_prob_ge_0.85_signal_ge_120,1.2,179,0.004413214990138067,0.6494448586068815,1.0559825656429696,0.3463009943877283,0.6645964776513806,0.5981425138069462,0.31442930032967775,0.6732941252625718,0.6524430436550572,0.8078371819734586,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0980410253731037,0,-0.009607309079909587,-0.03686333560113708,0.036133330393737007,0.04008115262238987,-0.0002666677253031491,-0.010316992852874685,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.06754395447289074,-0.10204542731068544,0.07758800736713478,0.11935926538665875,0.0,0.0030646053646500304,-8.366801761416909e-07,0.0034209768948988417,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.371250979113894,24.50218957794825,True,True,True,True
uplift_pred_ge_20_prob_ge_0.50_signal_ge_20_x115,pred_ge_20_prob_ge_0.50_signal_ge_20,1.15,194,0.004783037475345167,0.6496481953187712,1.0483404555710423,0.34599953482029516,0.6645964776513806,0.5981425138069462,0.3262949280653116,0.6633664004530414,0.6524430436550572,0.8078380214033288,1.2758658087999175,0.15645560130135022,0.0145398666145235,1.0942847276814631,0,-0.00940397236801993,-0.036659998889247425,0.02849122032180973,0.03243904255046259,-0.000568127292736309,-0.010618452420307845,0.0,0.005788572184315499,0.0,0.012867598852152384,-0.05567832673725692,-0.09017979957505162,0.06766028255760437,0.10943154057712834,0.0,0.0030646053646500304,2.749694139048131e-09,0.0034218163247691225,-2.220446049250313e-16,-0.024031482740530352,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.3416233695930275,21.653126490048212,True,True,True,True
