scope_type,scope_key,lead_time_days,min_batch_qty,max_replenish_qty,safety_stock_ratio,unit_price_ratio_to_price_tag,unit_cost_ratio_to_price_tag,holding_cost_ratio_per_day_to_unit_cost,salvage_ratio_to_unit_cost,stockout_penalty_per_unit,other_fixed_cost
global,*,7,1,,0.00,1.00,0.35,0.001,0.30,0,0
category,外套,5,1,,0.05,1.00,0.38,0.001,0.25,0,0
